Tata Open,Tata High,Tata Low,Tata Close,Tata Adj Close,Tata Volume,Daily Return %,MA_10,MA_30,Volatility_10
3401.050049,3418.850098,3356,3362.699951,3278.772461,2308256,-1.217632962,3172.161524,3141.563289,121.9274481
3418,3453,3377.149902,3430.949951,3345.319336,1084210,2.029627728,3203.221484,3153.243107,122.5846158
3459.399902,3477.300049,3431.199951,3440.149902,3354.289551,1913622,0.268142264,3237.469824,3167.467188,110.4008533
3355,3432,3346.300049,3423,3337.567871,2657939,-0.498516295,3264.868506,3180.998649,95.43501161
3388,3388,3340.050049,3355.199951,3271.459717,1493835,-1.980728379,3279.386865,3191.283708,82.12344423
3354.149902,3383.399902,3325,3364.350098,3280.381592,4840965,0.272718473,3294.383032,3200.37273,63.4729425
3297,3386.600098,3286.350098,3375.25,3291.009521,2094624,0.323984534,3309.55957,3208.870223,33.16517886
3253.199951,3278.899902,3229.199951,3261.300049,3179.90332,3103153,-3.376052251,3299.945654,3208.735343,52.34759454
3191,3241.5,3180.550049,3226.949951,3146.410645,2813186,-1.053260795,3280.4302,3206.756006,68.87566903
3292.850098,3292.850098,3154.050049,3167.649902,3088.590576,3548046,-1.837651709,3257.370459,3203.730127,89.86253621
3315.149902,3324.850098,3275.600098,3288,3184.486084,1711510,3.104830687,3247.941821,3205.345443,92.28131691
3304.800049,3338.899902,3267,3321.75,3217.17334,2293690,1.026453096,3235.127222,3207.440934,85.93586271
3310,3313.899902,3270.050049,3293,3189.328369,3065125,-0.865510436,3218.631104,3206.006519,75.74915293
3397,3405,3230,3261.949951,3159.256104,4642963,-0.942902753,3200.799927,3205.129769,64.84283119
3465,3495,3443.050049,3448.800049,3340.223877,1866781,5.72817673,3207.676343,3209.524748,75.87615331
3370,3467,3350.399902,3451.600098,3342.935547,1754076,0.081182283,3213.931738,3213.111458,84.61180316
3415,3430,3366.600098,3376.800049,3270.490479,1195813,-2.167109326,3211.879834,3214.395459,82.76353099
3435,3439.899902,3382.149902,3414.899902,3307.390869,2187823,1.128283058,3224.628589,3217.611499,87.00113114
3378,3449.699951,3350.100098,3408.649902,3301.337891,2807195,-0.183013688,3240.121314,3220.115503,85.30259634
3435,3448.449951,3382.149902,3412,3304.582275,1841769,0.098274824,3261.720484,3225.517904,68.3269966
3434,3464.800049,3422,3438.75,3330.48999,1622685,0.783993644,3276.320874,3232.141406,65.53165874
3398,3456,3346.850098,3445.100098,3336.640381,2481830,0.184669253,3288.267578,3242.205428,64.43115138
3459,3474.5,3424.5,3432.600098,3324.533691,2010812,-0.362840721,3301.78811,3252.629679,54.83366294
3512.100098,3533,3485.350098,3513.399902,3402.789795,1612262,2.353897156,3326.14148,3263.936637,34.9851983
3538.5,3545.449951,3465.300049,3479.75,3370.199463,2305825,-0.957753313,3329.139038,3272.067415,37.51831452
3519.899902,3547.949951,3492.75,3542.399902,3430.876953,1324161,1.800412429,3337.933179,3282.08265,49.50365407
3597,3623.25,3536.850098,3546.699951,3435.041748,2051115,0.121391558,3354.388306,3291.94257,51.88593299
3588,3604.399902,3538.050049,3584.300049,3471.458008,1703660,1.060140245,3370.79502,3298.456421,60.58428834
3546,3568.449951,3506.300049,3561.199951,3449.085449,1727648,-0.644471543,3385.569775,3302.04043,59.77389666
3575.149902,3587.899902,3518.149902,3546.300049,3434.654297,1943469,-0.418405175,3398.576978,3305.889307,54.07269847
3558,3584,3533.100098,3548.199951,3436.494385,1960694,0.053574184,3409.177417,3311.146704,49.43335494
3581.100098,3617,3571.5,3612.550049,3498.818604,1581465,1.813598744,3425.395239,3316.263346,49.5946373
3580,3644,3567.399902,3628.649902,3514.411377,2280996,0.445658228,3444.383008,3321.600741,42.53380318
3500,3569.149902,3480,3556.800049,3444.82373,2640370,-1.980065494,3448.586401,3325.175936,39.96614321
3550,3563.550049,3439.149902,3471.899902,3362.596436,3170014,-2.386981177,3447.826099,3328.213827,41.65948587
3610,3610,3522.5,3528.050049,3416.979004,3820792,1.617279059,3446.436304,3332.767074,42.51087348
3707,3709.850098,3655.550049,3661.949951,3546.663086,1621672,3.795284719,3457.598438,3341.288859,52.63523211
3683,3739,3648.350098,3691.100098,3574.895752,4483476,0.796034619,3467.942212,3354.455274,64.49017541
3690,3712.350098,3656.100098,3696.399902,3580.028564,2291660,0.143579348,3481.036524,3368.909204,72.97184189
3690,3705,3642.5,3685.649902,3569.617188,2296773,-0.290818238,3494.532813,3384.943425,75.86371726
3745.5,3745.5,3679,3684.149902,3568.164307,2494829,-0.040701311,3507.699805,3397.732699,76.09728673
3809.300049,3809.300049,3731.149902,3755.350098,3637.123047,2051729,1.932611115,3521.530249,3411.731022,86.20122545
3772,3835.600098,3772,3814.800049,3694.701172,2314947,1.583067833,3539.559229,3428.576782,101.9601832
3762,3780,3737.100098,3770.350098,3651.650879,1472994,-1.165190119,3560.241944,3444.989941,101.5846046
3748,3763,3728.050049,3758.75,3640.416016,1387014,-0.30766531,3588.023902,3454.996346,76.39128106
3740,3754.649902,3720.199951,3739.949951,3622.207764,2168110,-0.500169539,3608.546778,3464.30542,47.40012366
3738,3738,3706.199951,3731.550049,3614.072021,1583455,-0.224607298,3615.287671,3475.758138,42.12083952
3694.75,3722,3691,3705.350098,3588.696777,2689063,-0.702123363,3616.667774,3485.135002,40.85748645
3695,3713,3661.199951,3707.699951,3590.9729,1760990,0.063424779,3617.762207,3494.789502,39.9024154
3759.899902,3779.5,3672,3707.449951,3590.730713,1690133,-0.006744328,3619.87356,3504.327783,37.56180907
3700,3758.199951,3695,3749.850098,3631.795898,1879046,1.143644241,3626.236719,3514.371314,32.93327078
3708,3729.800049,3690,3712.399902,3595.525146,1596195,-0.998700175,3622.076929,3523.000806,34.01478916
3640,3711,3625,3700.949951,3584.435303,2907611,-0.308434583,3611.050342,3531.664193,24.35799663
3696,3713.949951,3615,3626.699951,3512.523193,2413831,-2.006232612,3597.137573,3535.321973,35.68901496
3696.600098,3710,3660.300049,3672.75,3557.123291,3600452,1.269745296,3588.808301,3541.552767,34.152767
3640.5,3668,3616.25,3655.899902,3540.803467,3090475,-0.458792757,3580.667871,3545.216984,34.99837676
3659,3659,3585.399902,3593.899902,3480.755371,3651133,-1.695888986,3567.336206,3546.740772,44.86190522
3580,3648.350098,3580,3643,3528.310059,1765688,1.366217471,3561.297534,3548.63584,45.72311041
3603.25,3639.850098,3592.850098,3599.149902,3485.840088,1623423,-1.203691577,3550.784253,3549.860995,50.02591933
3684,3684,3615,3620.949951,3506.954102,2005441,0.605708049,3542.406592,3552.270988,49.60605232
3605,3654,3597.050049,3632.600098,3518.237549,2719654,0.321744929,3531.050757,3554.99576,38.65946564
3460,3609,3460,3599.949951,3486.61499,3300992,-0.898818188,3520.159741,3554.588973,33.47044612
3450,3548,3431.550049,3484.899902,3375.187256,3054130,-3.195871478,3499.234937,3549.948169,50.09949658
3501.5,3561.199951,3487.050049,3524.350098,3413.395508,2370257,1.132033547,3489.322168,3548.900562,56.5673993
3562.850098,3578.600098,3530.100098,3544.399902,3432.813965,1928039,0.568889745,3476.891236,3551.241146,53.59284764
3552.5,3571.949951,3506,3546.149902,3434.508789,2761341,0.049371274,3466.261768,3551.825472,49.92370005
3490,3563.75,3455.899902,3554.199951,3442.30542,3288942,0.22700862,3462.416773,3548.346883,50.1634934
3468,3530,3462,3520.75,3409.908447,2549723,-0.941141736,3450.576611,3542.847306,46.73886026
3474,3483.850098,3391.100098,3401.649902,3294.558105,5039136,-3.382798799,3431.448413,3533.331624,65.91245994
3611,3622.899902,3555.649902,3563.800049,3451.603516,2426203,4.766812604,3425.913355,3529.397835,61.00894448
3650,3667.899902,3570,3586.399902,3473.491699,5408531,0.634145344,3421.43877,3526.242082,54.81133766
3810,3827.800049,3705.550049,3719.399902,3602.304443,7465922,3.708451183,3433.007715,3525.081462,77.5776255
3769,3815.949951,3757.600098,3793.899902,3674.458984,3688883,2.003010632,3462.934888,3524.406722,105.4955212
3825,3835,3779,3784.199951,3665.064697,3134372,-0.255664495,3488.101807,3524.853849,121.2125391
3844,3854.100098,3806,3813.100098,3693.054688,3256906,0.763697051,3514.125879,3526.608472,135.1578219
3786,3835,3748,3817.800049,3697.606934,3931683,0.123265058,3540.435693,3529.121777,143.2996413
3724,3793.25,3710,3733.75,3616.202637,5951745,-2.201540035,3557.825415,3529.192798,140.5940333
3752.5,3752.5,3690,3694.949951,3578.624268,3851488,-1.039166573,3574.696997,3528.857048,130.6423446
3789.800049,3789.800049,3758,3770.350098,3651.650879,2112459,2.040633649,3610.406275,3530.879647,87.11383098
3750,3777.949951,3746.100098,3760.550049,3642.15918,1638721,-0.259928983,3629.461841,3532.593929,67.0473802
3791.550049,3799.699951,3721,3743.449951,3625.597656,2946443,-0.454717193,3644.672437,3532.387321,39.20428729
3791,3831.800049,3756.149902,3779,3660.02832,1919149,0.949654851,3650.444824,3534.537427,36.42394961
3815.300049,3824.699951,3769,3814.899902,3694.797852,2307366,0.949979862,3652.478711,3538.216178,38.42667071
3851,3882.5,3816.050049,3824.600098,3704.192871,1960538,0.254276942,3656.391529,3544.605168,41.70308687
3827.899902,3864,3800.649902,3856.199951,3734.797852,1984212,0.826225363,3660.565845,3550.527653,47.47097618
3770,3808,3736.399902,3800.649902,3680.996582,2105169,-1.440540349,3658.90481,3555.200757,46.30721635
